Domain
10.1.255.229:80
account.live.com
aka.ms
amazonaws.com
protection.outlook.com
civd.skkmigas.go.id
civdmigas.skkmigas.go.id
drive.google.com
forms.office.com
global-cdm.net
go.microsoft.com
groups.google.com
mysettings.lync.com
office365.com
mail.yahoo.com
products.office.com
onmicrosoft.com
sharepoint.com
s3.a
s3.am
s3.amazona
s3.amazonaws.com
southeastasiar-notifyp.svc.ms
ssl.gstatic.com
teams.microsoft.com
www.automotiveworld.jp
facebook.com
www.google.com
www.gstatic.com
instagram.com
linkedin.com
pertamina.com
petrochina.co.id
www.portonews.com
tokopedia.com
www.weatherford.com
youtube.com
japaneastr-notifyp.svc.ms
em.workato.com
beritaborneo.com
mktg.workato.com
trck.mtrgt.id
res.cloudinary.com
aws.com
cdn.ruparupa.io
click.pstmrk.it
twitter.com
avast.com

